"REF","LIS_TEST_LABEL","INSTRUMENT_TEST_CODE","DESCRIP","M_REF","DAY_PRIORITY","NIGHT_PRIORITY","HOLIDAY_PRIORITY","CALCULATED","ON_HOLD","GRP_REF","REF_1","LK_USER_REF","CODE","NAME","CONNECTED","DRIVER_CLASS_NAME","PROPERTIES_FILE_PATH","MODE_O","WAIT_FOR_RESULT_CONFIRMATION","ON_HOLD_1","DLY_DB_SAMPLES_2SEND","DLY_SAMPLE_DISP_REFRESH","DLY_FOR_RESERVE_RETRY","DLY_FOR_RETRY_LATER","DLY_FOR_TIME_OUT","COM_PORT","COM_BAUDE_RATE","COM_PARITY","COM_DATA_BITS","COM_STOP_BIT","IS_EMUL","RELATED_INSTR","PORT","M_REF_1"
2652,"701","041","PT1.s.TS",283,3,3,3,0,0,0,283,0,"CS2500","CS2500",0,"b01.l3.drivers.cs2500.CS2500Driver","",1,0,0,10000,10000,2000,2000,30000,"6000",9600,0,8,1,0,"",8851,1
2672,"1081","1001","e-GFR",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2673,"1082","1002","Total Lipids",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2674,"1083","1003","Creatinine Clearence",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2675,"1084","1004","IgG Index",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2752,"1087","Direct Renin","Direct Renin",303,1,1,1,0,0,0,303,0,"MAGLUMI","MAGLUMI",0,"b01.l3.drivers.maglumi.MaglumiDriver","",1,0,0,10000,10000,2000,2000,30000,"6100",9600,0,8,1,0,"",8852,1
2753,"1088","ALD","Aldosterone",303,1,1,1,0,0,0,303,0,"MAGLUMI","MAGLUMI",0,"b01.l3.drivers.maglumi.MaglumiDriver","",1,0,0,10000,10000,2000,2000,30000,"6100",9600,0,8,1,0,"",8852,1
2714,"1086","083","PLGF",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2754,"1089","17-OH P","17-OH P",303,1,1,1,0,0,0,303,0,"MAGLUMI","MAGLUMI",0,"b01.l3.drivers.maglumi.MaglumiDriver","",1,0,0,10000,10000,2000,2000,30000,"6100",9600,0,8,1,0,"",8852,1
2792,"1091","AMYU24","AMYU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2793,"1094","GLUU24","GLUU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2794,"1099","UREAU24","UREAU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2795,"1098","UAU24","UAU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2796,"1101","KU2424","KU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2797,"1096","MALBU24","MALBU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2798,"1100","NAU24","NAU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2799,"1093","CREAU24","CREAU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2800,"1092","CALU24","CALU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2801,"1097","PHOSU24","PHOSU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2802,"1102","CLU24","CLU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2803,"1103","TPU24","TPU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2804,"1095","MGU24","MGU24",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2812,"1104","1010","Anion Gap",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2852,"1109","314","IgG subclasses (4)",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2853,"1108","313","IgG subclasses (3)",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2854,"1107","312","IgG sucblasses (2)",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2855,"1106","311","IgG subclasses (1)",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2872,"1110","1005","Transferrin Saturation",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
